index;Título;Lanzamiento;Discográfica
0;Magia;24 de junio de 1991;Sony Colombia 
1;Peligro;25 de marzo de 1993;Sony Colombia 
2;Pies descalzos;6 de octubre de 1995;Sony Music 
3;¿Dónde están los ladrones?;29 de septiembre de 1998;Sony Music Latin 
4;Servicio de lavandería;13 de noviembre de 2001;Epic 
5;Fijación oral vol. 1;3 de junio de 2005;Epic 
6;Oral Fixation vol. 2;28 de noviembre de 2005;Epic 
7;She Wolf;9 de octubre de 2009;Epic 
8;Sale el Sol;19 de octubre de 2010;Epic 
9;Shakira;21 de marzo de 2014;RCA, Live Nation, Sony Music Latin 
10;El Dorado;26 de mayo de 2017;Sony Music Latin 
11;Las Mujeres Ya No Lloran;22 de marzo de 2024;Sony Music Latin 
